suburb_id,suburb,Bus stop,Coffee shop,Dentist,Hair care,Motor repair,Restaurant,Orchard,Clothing store,Train station
352,Calala,25,1,0,2,0,3,0,0,0
353,Calderwood,1,1,0,1,0,1,0,1,0
354,Caldwell,0,0,0,0,0,0,0,0,1
356,Callaghan,1,4,0,0,0,3,0,0,0
357,Callala Bay,8,2,0,3,0,5,0,2,0
358,Callala Beach,9,1,0,0,0,1,0,0,0
359,Cambewarra,8,0,0,0,0,0,0,1,0
360,Cambewarra Village,4,0,0,0,0,0,0,0,0
361,Cambridge Gardens,12,1,0,1,0,3,0,0,0
362,Cambridge Park,35,0,1,4,2,4,0,0,0
363,Camden,22,17,16,27,3,56,0,14,0
364,Camden Head,1,0,0,0,0,0,0,0,0
365,Camden Park,3,0,0,0,0,0,0,2,0
366,Camden South,24,0,0,2,0,0,0,2,0
367,Camellia,1,2,0,0,1,1,0,0,1
368,Cameron Park,28,1,0,3,1,3,0,1,0
369,Cammeray,15,5,5,7,1,18,0,3,0
370,Campbelltown,54,50,32,46,51,59,0,60,2
371,Camperdown,23,10,0,6,10,27,1,7,0
372,Campsie,42,21,27,32,25,57,0,15,1
373,Campvale,6,0,0,0,0,1,0,0,0
374,Cams Wharf,1,1,0,0,0,1,0,0,0
375,Canada Bay,7,0,0,0,0,0,0,0,0
376,Canadian Lead,0,0,0,0,0,0,0,0,1
377,Candelo,1,1,0,0,0,1,0,0,0
378,Cangai,1,0,0,0,0,0,0,0,0
379,Canley Heights,31,10,6,5,1,35,0,0,0
380,Canley Vale,31,4,2,3,4,25,0,2,1
381,Canobolas,0,0,0,0,0,3,0,0,0
382,Canoelands,0,0,0,0,0,0,1,0,0
383,Canowindra,1,4,0,2,5,7,0,0,2
384,Canterbury,15,6,7,4,3,22,0,3,1
385,Canton Beach,4,1,0,1,0,0,0,0,0
386,Capertee,1,1,0,0,0,0,0,0,2
387,Captains Flat,0,0,0,0,0,1,0,0,0
388,Caragabal,0,0,0,0,0,0,0,0,1
389,Carcoar,2,0,0,0,0,2,0,0,1
390,Cardiff,1,5,5,9,27,16,0,0,1
391,Cardiff Heights,13,0,0,1,1,1,0,0,0
392,Cardiff South,17,0,0,2,0,1,0,0,0
393,Carey Bay,7,1,3,3,0,1,0,0,0
394,Cargo,0,1,0,0,0,0,0,0,0
395,Caringbah,46,32,18,33,46,55,0,13,1
396,Caringbah South,46,2,2,5,1,5,0,0,0
397,Carlingford,50,13,18,21,8,46,0,10,0
398,Carlton,2,9,0,10,12,0,0,1,1
399,Carnes Hill,2,4,0,4,1,15,0,0,0
400,Carool,0,0,0,0,0,1,1,0,0
401,Caroona,1,0,0,0,0,0,0,0,2
402,Carramar,10,0,0,1,0,2,0,1,1
403,Carrington,15,3,0,2,4,12,0,4,0
404,Carroll,1,0,0,0,0,0,0,1,0
405,Carrs Creek,2,0,0,0,0,0,0,0,0
406,Carss Park,8,1,0,0,2,4,0,1,0
407,Cartwright,10,0,0,0,0,0,0,0,0
408,Cartwrights Hill,2,0,0,0,0,1,0,0,0
409,Carwoola,0,0,0,1,0,0,0,0,0
410,Casino,8,8,4,9,25,0,0,8,1
411,Cassilis,0,1,0,0,0,0,0,0,0
412,Castle Cove,21,1,1,0,1,2,0,0,0
413,Castle Doyle,0,1,0,0,0,0,0,0,0
414,Castle Hill,51,50,48,40,1,57,0,60,0
415,Castlecrag,12,2,1,2,0,9,0,6,0
416,Castlereagh,0,0,0,0,1,0,0,0,0
417,Casuarina,7,4,1,0,0,11,0,0,0
418,Casula,58,10,9,8,3,34,0,7,1
419,Catalina,1,0,0,0,0,0,0,0,0
420,Catherine Field,13,1,0,1,1,1,0,0,0
421,Catherine Hill Bay,16,1,0,0,0,1,0,0,0
422,Cathundral,0,0,0,0,0,0,0,0,1
423,Cattai,9,0,0,1,0,2,0,0,0
424,Caves Beach,19,2,0,1,4,5,0,1,0
425,Cawdor,17,0,0,0,0,1,0,0,0
426,Cawongla,0,1,0,0,0,0,0,0,0
427,Cecil Hills,31,1,1,4,1,2,0,0,0
428,Cecil Park,10,0,0,0,0,0,0,0,0
429,Centennial Park,10,4,0,0,0,1,0,1,0
430,Central Mangrove,10,0,0,0,2,0,0,0,0
431,Central Tilba,1,5,0,0,0,3,0,0,0
432,Cessnock,36,18,11,19,30,47,0,13,0
433,Chain Valley Bay,16,0,0,1,1,0,0,0,0
434,Chakola,0,0,0,0,0,1,0,0,0
435,Charbon,1,0,0,0,0,0,0,0,0
436,Charles Sturt University,0,1,1,0,0,1,0,0,0
437,Charlestown,44,22,21,28,5,46,0,59,0
438,Charlotte Bay,1,0,0,1,0,0,0,0,0
439,Charmhaven,27,2,1,3,18,11,0,2,0
440,Chatswood,44,57,60,59,22,59,2,60,1
441,Chatswood West,18,0,1,1,1,1,0,0,0
442,Chatsworth,1,0,0,0,0,0,0,0,0
443,Cheero Point,1,0,0,0,0,0,0,0,0
444,Cheltenham,1,1,0,0,0,0,0,0,1
445,Cherrybrook,48,7,6,3,1,13,0,6,0
446,Chester Hill,48,7,7,9,4,27,0,11,1
447,Chifley,18,0,0,0,1,2,0,0,0
448,Chilcotts Grass,1,0,0,0,0,0,0,0,0
449,Chillingham,1,0,0,0,0,0,0,0,0
450,Chinderah,10,9,0,0,4,10,0,0,0
451,Chippendale,5,28,1,8,3,54,0,11,0
452,Chipping Norton,36,9,6,3,34,18,0,3,0
453,Chisholm,0,1,0,0,0,0,0,0,0
454,Chiswick,0,2,0,1,0,5,0,1,0
455,Chittaway Bay,22,1,0,2,1,2,0,0,0
456,Chittaway Point,10,0,0,0,0,1,0,0,0
457,Chullora,9,6,0,3,2,5,0,0,0
458,Church Point,31,1,0,0,0,3,0,0,0
459,Clandulla,1,0,0,0,0,0,0,0,1
460,Claremont Meadows,32,0,1,3,1,1,0,1,0
461,Clarence,0,0,0,0,0,0,0,0,1
462,Clarence Town,0,2,0,0,0,2,0,1,0
463,Clarendon,1,2,0,0,0,3,0,0,1
464,Clarenza,4,1,0,0,0,2,0,0,0
465,Clareville,18,0,0,0,0,1,0,0,0
466,Claymore,14,0,0,0,0,0,0,0,0
467,Clearfield,0,0,0,0,0,0,0,0,1
468,Clemton Park,0,2,0,0,0,2,0,0,0
469,Clergate,0,0,0,0,0,0,0,0,2
470,Cliftleigh,10,0,0,0,0,1,0,0,0
471,Clifton,2,0,0,0,0,0,0,0,0
472,Clifton Grove,0,0,0,0,0,1,0,1,0
473,Clontarf,0,1,0,0,0,2,0,0,0
474,Clothiers Creek,2,0,0,0,1,0,0,0,0
475,Clovass,2,0,0,0,0,0,0,0,0
476,Clovelly,22,5,3,3,0,10,0,2,0
477,Clunes,0,0,0,0,0,0,1,0,0
478,Clyde,3,1,0,0,10,3,0,3,0
