suburb_ssc,suburb,suburb_id,Males - Total (no.),Females - Total (no.),Persons - Total (no.),Total population aged 15 years and over (no.),Median Household Weekly Income,Weekly median advertised rent,Non-School Qualifications (no.),Postgraduate Degree (no.),Graduate Diploma/Graduate Certificate (no.),Bachelor Degree (no.),Advanced Diploma/Diploma (no.),Certificate (no.),Labour Force (no.),Employed (no.),Unemployed (no.)
SSC11429,Eraring,699,112,103,215,177,1312,0,18,11,4,28,22,50,80,80,0
SSC11431,Erigolia,700,29,25,54,28,1375,0,3,0,0,9,3,5,25,25,0
SSC11433,Erina,701,2051,2726,4777,4193,941,520,663,119,39,465,371,774,1623,1541,82
SSC11434,Erina Heights,702,219,203,422,318,1974,0,30,16,12,54,43,66,209,199,10
SSC11435,Ermington,703,5352,5386,10738,8559,1620,520,877,515,108,1438,844,1405,5128,4835,293
SSC11436,Erowal Bay,704,329,300,629,528,1093,370,48,18,14,45,48,164,276,255,21
SSC11438,Erskine Park,705,3199,3238,6437,5199,2104,393,352,125,42,547,444,1302,3854,3669,185
SSC11439,Erskineville,706,4119,3894,8013,7127,2482,730,792,1076,249,2339,646,638,5610,5418,192
SSC11441,Eschol Park,707,1278,1310,2588,2049,1649,0,131,45,16,163,202,567,1452,1360,92
SSC11444,Estella,708,1035,1236,2271,1827,1620,0,172,99,26,309,156,397,1181,1126,55
SSC11445,Ettalong Beach,709,2263,2525,4788,4154,867,0,542,84,46,339,325,936,1832,1664,168
SSC11449,Euabalong,710,105,85,190,142,919,0,9,0,0,8,5,30,80,75,5
SSC11450,Euabalong West,711,34,26,60,43,850,0,4,0,4,0,0,4,13,13,0
SSC11452,Euchareena,712,98,101,199,147,1228,0,36,0,0,12,8,32,73,70,3
SSC11454,Eugowra,713,396,376,772,659,1095,0,83,7,8,37,43,160,349,336,13
SSC11456,Eumungerie,714,168,134,302,260,836,0,55,0,0,19,17,62,144,133,11
SSC11457,Eunanoreenya,715,81,87,168,134,1843,0,17,5,5,22,9,26,93,93,0
SSC11458,Eungai Creek,716,226,193,419,332,905,0,35,0,3,25,27,113,189,160,29
SSC11459,Eungai Rail,717,119,103,222,182,788,0,32,0,0,9,12,36,81,63,18
SSC11460,Eungella,718,188,153,341,261,1024,0,52,7,4,34,24,62,126,116,10
SSC11461,Eureka,719,171,180,351,268,1368,0,30,12,5,50,35,49,161,151,10
SSC11467,Eurunderee,720,81,80,161,129,1774,0,15,0,4,36,15,23,100,97,3
SSC11469,Evans Head,721,1392,1459,2851,2416,900,478,328,46,29,203,183,574,1108,1030,78
SSC11471,Eveleigh,722,296,371,667,550,1221,0,107,44,9,122,53,70,362,339,23
SSC11474,Ewingsdale,723,412,417,829,677,1592,0,133,26,13,121,66,118,385,368,17
SSC11475,Exeter,724,457,494,951,798,1362,0,65,48,27,167,116,151,452,434,18
SSC11477,Fairfield,725,8968,9115,18083,14639,975,440,2450,304,71,1359,1082,1698,6164,5265,899
SSC11478,Fairfield East,726,2653,2616,5269,4168,1057,0,779,54,11,358,254,470,1813,1619,194
SSC11479,Fairfield Heights,727,3658,3859,7517,5935,1116,0,970,90,42,496,468,670,2484,2192,292
SSC11480,Fairfield West,728,5669,5899,11568,9273,1267,0,1250,148,47,730,629,1357,4631,4176,455
SSC11482,Fairlight,729,2787,3052,5839,4810,2620,1213,404,570,179,1484,527,518,3412,3304,108
SSC11483,Fairy Hill,730,192,192,384,307,1118,0,35,4,3,24,30,62,173,160,13
SSC11484,Fairy Meadow,731,3672,3728,7400,6249,1123,525,639,361,85,879,531,1324,3385,3072,313
SSC11487,Falls Creek,732,497,436,933,799,1478,0,100,15,10,57,61,234,437,420,17
SSC11490,Farley,733,114,101,215,180,1895,0,17,3,0,23,8,49,109,106,3
SSC11491,Farmborough Heights,734,2028,2165,4193,3378,1816,0,323,138,71,478,389,849,2156,2054,102
SSC11495,Fassifern,735,297,300,597,527,1238,0,61,14,3,43,34,147,297,273,24
SSC11496,Faulconbridge,736,1969,2060,4029,3188,1781,0,186,211,117,590,346,680,2109,2022,87
SSC11499,Federal,737,340,351,691,562,1184,0,100,37,23,98,65,107,316,296,20
SSC11500,Fennell Bay,738,782,831,1613,1372,1204,0,123,28,14,120,111,381,722,647,75
SSC11501,Fern Bay,739,1368,1398,2766,2337,1049,0,255,60,24,242,187,558,998,935,63
SSC11505,Fernbank Creek,740,68,64,132,115,1321,0,8,3,0,16,13,23,70,66,4
SSC11507,Fernhill,741,503,522,1025,870,870,0,103,23,17,75,65,194,378,345,33
SSC11512,Ferodale,742,46,44,90,75,1625,0,6,0,0,3,3,29,43,40,3
SSC11515,Figtree,743,5712,5844,11556,9275,1581,500,711,527,233,1435,947,2050,5520,5192,328
SSC11518,Fingal Bay,744,769,843,1612,1448,908,0,296,29,18,92,124,386,501,462,39
SSC11519,Fingal Head,745,297,299,596,484,1208,0,80,8,8,73,54,79,253,233,20
SSC11520,Finley,746,1237,1280,2517,2081,988,0,344,18,14,151,124,447,1071,1019,52
SSC11523,Fishermans Paradise,747,250,225,475,393,773,0,87,8,3,16,20,108,136,126,10
SSC11526,Fishing Point,748,525,515,1040,892,1355,0,56,25,30,108,120,236,460,429,31
SSC11529,Fitzroy Falls,749,106,114,220,165,1666,0,17,7,3,43,18,27,103,103,0
