suburb_id,suburb,post,industry,count
522,Coomba Bay,2428,Coffee shop,0
523,Coomba Park,2428,Coffee shop,0
524,Coonabarabran,2357,Coffee shop,5
525,Coonamble,2829,Coffee shop,3
526,Coopernook,2426,Coffee shop,0
527,Coorabell,2479,Coffee shop,0
528,Cooranbong,2265,Coffee shop,3
529,Cootamundra,2590,Coffee shop,10
530,Cooyal,2850,Coffee shop,1
531,Copacabana,2251,Coffee shop,2
532,Copmanhurst,2460,Coffee shop,0
533,Coraki,2471,Coffee shop,1
534,Coramba,2450,Coffee shop,1
535,Cordeaux Heights,2526,Coffee shop,1
536,Corindi Beach,2456,Coffee shop,2
537,Corlette,2315,Coffee shop,0
538,Corney Town,2790,Coffee shop,0
539,Corowa,2646,Coffee shop,9
540,Corrimal,2518,Coffee shop,9
541,Corunna,2546,Coffee shop,0
542,Cottage Point,2084,Coffee shop,1
543,Couridjah,2571,Coffee shop,0
544,Coutts Crossing,2460,Coffee shop,0
545,Cowan,2081,Coffee shop,2
546,Cowra,2794,Coffee shop,10
547,Crackenback,2627,Coffee shop,2
548,Cranebrook,2749,Coffee shop,3
549,Crangan Bay,2259,Coffee shop,0
550,Craven,2422,Coffee shop,0
551,Cremorne,2090,Coffee shop,7
552,Cremorne Point,2090,Coffee shop,1
553,Crescent Head,2440,Coffee shop,6
554,Crestwood,2620,Coffee shop,0
555,Cringila,2502,Coffee shop,1
556,Cromer,2099,Coffee shop,5
557,Cronulla,2230,Coffee shop,34
558,Crookwell,2583,Coffee shop,3
559,Croudace Bay,2280,Coffee shop,0
560,Crowdy Head,2427,Coffee shop,1
561,Crows Nest,2065,Coffee shop,22
562,Crowther,2803,Coffee shop,0
563,Croydon,2132,Coffee shop,5
564,Croydon Park,2133,Coffee shop,3
565,Crystal Creek,2484,Coffee shop,1
566,Cudal,2864,Coffee shop,2
567,Cudgen,2487,Coffee shop,0
568,Cudmirrah,2540,Coffee shop,0
569,Culburra Beach,2540,Coffee shop,10
570,Culcairn,2660,Coffee shop,2
571,Cullen Bullen,2790,Coffee shop,0
572,Cullerin,2581,Coffee shop,0
573,Cumbalum,2478,Coffee shop,0
574,Cundletown,2430,Coffee shop,0
575,Cunjurong Point,2539,Coffee shop,1
576,Curl Curl,2096,Coffee shop,2
577,Curlwaa,2648,Coffee shop,1
578,Currabubula,2342,Coffee shop,1
579,Curramore,2533,Coffee shop,0
580,Currans Hill,2567,Coffee shop,0
581,Currarong,2540,Coffee shop,0
582,Currawong Beach,2108,Coffee shop,0
583,Daceyville,2032,Coffee shop,0
584,Dairymans Plains,2630,Coffee shop,0
585,Daleys Point,2257,Coffee shop,2
586,Dalgety,2628,Coffee shop,2
587,Dalmeny,2546,Coffee shop,1
588,Dandry,2357,Coffee shop,1
589,Dangar Island,2083,Coffee shop,1
590,Dapto,2530,Coffee shop,8
591,Darawank,2428,Coffee shop,3
592,Darbys Falls,2793,Coffee shop,0
593,Dareton,2717,Coffee shop,0
594,Dargan,2786,Coffee shop,1
595,Darkes Forest,2508,Coffee shop,0
596,Darling Point,2027,Coffee shop,2
597,Darlinghurst,2010,Coffee shop,33
598,Darlington,2330,Coffee shop,13
599,Daroobalgie,2870,Coffee shop,0
600,Davidson,2085,Coffee shop,1
601,Davistown,2251,Coffee shop,1
602,Dawes Point,2000,Coffee shop,2
603,Dean Park,2761,Coffee shop,1
604,Dee Why,2099,Coffee shop,24
605,Deep Creek,2469,Coffee shop,0
606,Deepwater,2371,Coffee shop,0
607,Delegate,2633,Coffee shop,1
608,Delungra,2403,Coffee shop,0
609,Denham Court,2565,Coffee shop,1
610,Deniliquin,2710,Coffee shop,8
611,Denistone,2114,Coffee shop,0
612,Denistone East,2112,Coffee shop,0
613,Denistone West,2114,Coffee shop,0
614,Denman,2328,Coffee shop,2
615,Derriwong,2877,Coffee shop,0
616,Deua,2537,Coffee shop,0
617,Dharruk,2770,Coffee shop,0
618,Dhuragoon,2733,Coffee shop,0
619,Diamond Beach,2430,Coffee shop,0
620,Dilkoon,2460,Coffee shop,0
621,Dirty Creek,2460,Coffee shop,0
622,Dolans Bay,2229,Coffee shop,0
623,Dolls Point,2219,Coffee shop,2
624,Doon Doon,2484,Coffee shop,0
625,Doonbah,2473,Coffee shop,0
626,Doonside,2767,Coffee shop,5
627,Dooralong,2259,Coffee shop,0
628,Dora Creek,2264,Coffee shop,0
629,Dorrigo,2453,Coffee shop,8
630,Dorroughby,2480,Coffee shop,0
631,Double Bay,2028,Coffee shop,28
632,Douglas Park,2569,Coffee shop,1
633,Dover Heights,2030,Coffee shop,1
634,Doyalson,2262,Coffee shop,0
635,Doyalson North,2262,Coffee shop,0
636,Drake Village,2469,Coffee shop,0
637,Drummoyne,2047,Coffee shop,21
638,Dubbo,2830,Coffee shop,52
639,Duckenfield,2321,Coffee shop,1
640,Dudley,2290,Coffee shop,1
641,Duffys Forest,2084,Coffee shop,0
642,Dulwich Hill,2203,Coffee shop,15
643,Dunbogan,2443,Coffee shop,1
644,Dundas,2117,Coffee shop,1
645,Dundas Valley,2117,Coffee shop,1
646,Dunedoo,2844,Coffee shop,3
647,Dungog,2420,Coffee shop,6
648,Dunkeld,2795,Coffee shop,0
649,Dunmore,2529,Coffee shop,0
650,Duns Creek,2321,Coffee shop,0
651,Dural,2330,Coffee shop,16
652,Duranbah,2487,Coffee shop,1
653,Duri,2344,Coffee shop,0
654,Durras North,2536,Coffee shop,1
655,Durren Durren,2259,Coffee shop,0
656,Dyers Crossing,2429,Coffee shop,0
657,Eagle Vale,2558,Coffee shop,3
658,Earlwood,2206,Coffee shop,10
659,East Albury,2640,Coffee shop,5
660,East Ballina,2478,Coffee shop,4
661,East Branxton,2335,Coffee shop,0
662,East Corrimal,2518,Coffee shop,3
663,East Gosford,2250,Coffee shop,6
664,East Gresford,2311,Coffee shop,2
665,East Hills,2213,Coffee shop,0
666,East Jindabyne,2627,Coffee shop,0
667,East Kangaloon,2576,Coffee shop,0
668,East Kempsey,2440,Coffee shop,1
669,East Killara,2071,Coffee shop,1
670,East Kurrajong,2758,Coffee shop,0
671,East Lindfield,2070,Coffee shop,1
672,East Lismore,2480,Coffee shop,2
673,East Lynne,2536,Coffee shop,0
674,East Maitland,2323,Coffee shop,23
675,East Ryde,2113,Coffee shop,1
676,East Tamworth,2340,Coffee shop,1
