suburb,id
Mount Victoria,1385
Mount View,1386
Mount Vincent,1387
Mount Warning,1388
Mount Warrigal,1389
Mount White,1390
Mudgee,1391
Mulbring,1392
Mulgoa,1393
Mulgrave,1394
Mullaley,1395
Mullaway,1396
Mullion Creek,1397
Mullumbimby,1398
Mulwala,1399
Mumbil,1400
Mummulgum,1401
Mundamia,1402
Mungindi,1403
Murrami,1404
Murray Downs,1405
Murrays Beach,1406
Murringo,1407
Murrumbateman,1408
Murrumburrah,1409
Murrurundi,1410
Murwillumbah,1411
Muscle Creek,1412
Muswellbrook,1413
Muttama,1414
Mylestom,1415
Mylneford,1416
Myocum,1417
Myola,1418
Myrtle Creek,1419
Nabiac,1420
Nambucca Heads,1421
Nana Glen,1422
Narara,1423
Narellan,1424
Narellan Vale,1425
Naremburn,1426
Narooma,1427
Narrabarba,1428
Narrabeen,1429
Narrabri,1430
Narrandera,1431
Narrawallee,1432
Narraweena,1433
Narromine,1434
Narwee,1435
Nashdale,1436
Neath,1437
Nelligen,1438
Nelson,1439
Nelson Bay,1440
Nemingha,1441
Nerong,1442
Neutral Bay,1443
Nevertire,1444
New Berrima,1445
New Brighton,1446
New Italy,1447
New Lambton,1448
New Lambton Heights,1449
Newbridge,1450
Newcastle,1451
Newcastle East,1452
Newcastle West,1453
Newington,1454
Newport,1455
Newrybar,1456
Newtown,1457
Niagara Park,1458
Nimbin,1459
Nimmitabel,1460
Nooroo,1461
Norah Head,1462
Noraville,1463
Nords Wharf,1464
Normanhurst,1465
North Albury,1466
North Arm Cove,1467
North Avoca,1468
North Balgowlah,1469
North Batemans Bay,1470
North Boambee Valley,1471
North Bondi,1472
North Curl Curl,1473
North Dorrigo,1474
North Epping,1475
North Gosford,1476
North Haven,1477
North Lambton,1478
North Lismore,1479
North Macksville,1480
North Macquarie,1481
North Manly,1482
North Narooma,1483
North Narrabeen,1484
North Nowra,1485
North Parramatta,1486
North Richmond,1487
North Rocks,1488
North Rothbury,1489
North Ryde,1490
North St Marys,1491
North Strathfield,1492
North Sydney,1493
North Tamworth,1494
North Tumbulgum,1495
North Turramurra,1496
North Wagga Wagga,1497
North Wahroonga,1498
North Willoughby,1499
North Wollongong,1500
North Yeoval,1501
Northbridge,1502
Northmead,1503
Northwood,1504
Nowra,1505
Nowra Hill,1506
Nulkaba,1507
Nunderi,1508
Nundle,1509
Nyngan,1510
Nyrang Creek,1511
Oak Flats,1512
Oakdale,1513
Oakhampton,1514
Oakhurst,1515
Oakville,1516
Oaky Park,1517
Oatlands,1518
Oatley,1519
Oberon,1520
Ocean Shores,1521
Old Bar,1522
Old Erowal Bay,1523
Old Guildford,1524
Old Junee,1525
Old Toongabbie,1526
One Mile,1527
Ootha,1528
Oran Park,1529
Orange,1530
Orangeville,1531
Orchard Hills,1532
Orient Point,1533
Otford,1534
Ourimbah,1535
Oxley Park,1536
Oxley Vale,1537
Oyster Bay,1538
Oyster Cove,1539
Paddington,1540
Padstow,1541
Padstow Heights,1542
Pagewood,1543
Pallamallawa,1544
Palm Beach,1545
Palmers Channel,1546
Palmers Island,1547
Pambula,1548
Pambula Beach,1549
Panania,1550
Parkes,1551
Parklea,1552
Parramatta,1553
Paterson,1554
Patonga,1555
Paxton,1556
Peak Hill,1557
